	dato	Innlagte	Respirator
0	2020-03-08	0	0
1	2020-03-09	2	0
2	2020-03-10	8	0
3	2020-03-11	13	0
4	2020-03-12	23	1
5	2020-03-13	27	4
6	2020-03-14	35	4
7	2020-03-15	41	6
8	2020-03-16	50	10
9	2020-03-17	68	13
10	2020-03-18	82	16
11	2020-03-19	102	19
12	2020-03-20	130	26
13	2020-03-21	148	28
14	2020-03-22	169	32
15	2020-03-23	193	41
16	2020-03-24	212	44
17	2020-03-25	237	57
18	2020-03-26	266	70
19	2020-03-27	303	77
20	2020-03-28	291	84
21	2020-03-29	317	91
22	2020-03-30	321	97
23	2020-03-31	317	97
24	2020-04-01	325	99
25	2020-04-02	318	96
26	2020-04-03	318	96
27	2020-04-04	306	98
28	2020-04-05	310	89
29	2020-04-06	314	83
30	2020-04-07	277	78
31	2020-04-08	250	70
32	2020-04-09	252	70
33	2020-04-10	234	67
34	2020-04-11	214	64
35	2020-04-12	214	59
36	2020-04-13	204	58
37	2020-04-14	201	53
38	2020-04-15	190	52
39	2020-04-16	175	52
40	2020-04-17	165	51
41	2020-04-18	148	47
42	2020-04-19	153	48
43	2020-04-20	160	43
44	2020-04-21	144	40
45	2020-04-22	129	33
46	2020-04-23	123	33
47	2020-04-24	120	32
48	2020-04-25	114	33
49	2020-04-26	122	31
50	2020-04-27	125	32
51	2020-04-28	119	32
52	2020-04-29	114	31
53	2020-04-30	98	29
54	2020-05-01	82	30
55	2020-05-02	81	29
56	2020-05-03	80	28
57	2020-05-04	82	27
58	2020-05-05	71	27
59	2020-05-06	62	20
60	2020-05-07	63	18
61	2020-05-08	61	16
62	2020-05-09	59	16
63	2020-05-10	60	16
64	2020-05-11	59	17
65	2020-05-12	59	16
66	2020-05-13	61	15
67	2020-05-14	61	13
68	2020-05-15	58	12
69	2020-05-16	52	11
70	2020-05-17	52	11
71	2020-05-18	52	11
72	2020-05-19	51	11
73	2020-05-20	51	11
74	2020-05-21	41	9
75	2020-05-22	45	8
76	2020-05-23	35	7
77	2020-05-24	38	7
78	2020-05-25	40	8
79	2020-05-26	37	7
80	2020-05-27	36	7
81	2020-05-28	36	8
82	2020-05-29	30	5
