MatvareID,Matvare,Spiselig_del,Vann(g),Kilojoule,Kilokalorier,Fett(g),Mettet(g),Trans(g),Enumettet(g),Flerumettet(g),Omega-3(g),Omega-6(g),Kolesterol(mg),Karbohydrat(g),Stivelse(g),Mono+disakk(g),"Sukker,tilsatt(g)",Kostfiber(g),Protein(g),Salt(g),Alkohol(g),VitaminA(RAE),Retinol(µg),Beta-karoten(µg),VitaminD(µg),VitaminE(alfa-TE),Tiamin(mg),Riboflavin(mg),Niacin(mg),VitaminB6(mg),Folat(µg),VitaminB12(µg),VitaminC(mg),Kalsium(mg),Jern(mg),Natrium(mg),Kalium(mg),Magnesium(mg),Sink(mg),Selen(µg),Kopper(mg),Fosfor(mg),Jod(µg)
5.388,"Amaranth, tørr",100,11,1546,367,7.0,1.5,0,1.7,2.8,0.04,2.74,0,59.0,57.3,1.7,0.0,7,13.6,0.0,0,0,0,1,0,1.2,0.12,0.2,0.9,0.59,82,0,4,159,7.6,4,508,248,2.9,19,0.53,557,M
6.582,Cashewnøtter,100,5,2458,592,43.9,7.8,0,23.8,7.8,0.23,7.16,0,29.4,23.5,5.9,0.0,3,18.2,0.0,0,0,0,0,0,0.9,0.42,0.06,1.1,0.42,25,0,1,37,6.7,12,660,292,5.8,2,2.2,593,11
5.38,"Chiafrø, tørket",100,2,1985,482,34.2,3.1,0,2.1,24.9,19.25,5.62,0,1.8,0.0,1.8,0.0,41,21.4,0.0,0,0,0,0,0,0.0,0.47,0.2,4.1,0.14,71,0,2,545,6.5,0,640,320,5.1,10,1.6,645,0
6.553,Hasselnøtter,41,9,2761,670,65.0,3.7,0,39.8,5.0,0.05,4.98,0,3.3,0.3,3.0,0.0,9,13.2,0.0,0,1,0,16,0,26.0,0.17,0.38,0.6,0.21,81,0,6,140,2.7,0,600,140,2.0,1,1.4,280,0
6.039,"Kastanjer, ristede",63,41,776,184,2.2,0.4,0,0.8,0.9,0.1,0.8,0,34.0,27.0,7.0,0.0,8,3.2,0.0,0,1,0,14,0,0.5,0.24,0.18,1.3,0.5,70,0,26,29,0.9,2,592,33,0.6,1,0.51,107,0
5.012,"Linfrø, knuste",100,7,2116,513,42.2,3.7,0,7.5,28.7,22.81,5.91,0,1.6,0.0,1.6,0.0,27,18.3,0.1,0,0,0,0,0,0.3,1.64,0.16,3.1,0.47,87,0,1,255,5.7,30,813,392,4.3,3,1.22,642,0
6.617,Macadamianøtter,31,1,3102,753,75.8,12.1,0,58.9,1.5,0.21,1.3,0,5.6,1.1,4.6,0.0,9,7.9,0.0,0,0,0,0,0,0.5,1.2,0.16,2.5,0.28,11,0,1,85,3.7,5,368,130,1.3,4,0.76,188,2
6.107,Mandler,100,10,2484,601,52.1,4.1,0,31.4,11.4,0.0,11.36,0,6.6,0.0,6.6,0.0,11,21.2,0.0,0,0,0,0,0,23.4,0.14,0.94,1.9,0.13,76,0,1,260,3.4,1,745,260,3.3,2,1,475,0
6.555,"Mandler, skåldet",100,5,2482,601,52.5,4.0,0,33.4,12.4,0.0,12.37,0,5.6,1.0,4.6,0.0,10,21.4,0.0,0,0,0,4,0,23.8,0.19,0.41,3.5,0.12,49,0,0,236,3.3,19,659,268,3.0,3,1.03,481,2
6.592,Paranøtter,51,4,2805,680,66.4,15.1,0,24.5,20.6,0.02,22.32,0,2.6,0.3,2.3,0.0,8,14.3,0.0,0,0,0,0,0,5.7,0.62,0.04,0.3,0.1,22,0,1,160,2.4,3,659,376,4.1,1090,1.74,725,1
